cell,group in,group out,nuclide,mean,std. dev.
3,5,58,total,0.0,0.0
3,5,59,total,0.0,0.0
3,5,60,total,0.0,0.0
3,5,61,total,0.0,0.0
3,5,62,total,0.0,0.0
3,5,63,total,0.0,0.0
3,5,64,total,0.0,0.0
3,5,65,total,0.0,0.0
3,5,66,total,0.0,0.0
3,5,67,total,0.0,0.0
3,5,68,total,0.0,0.0
3,5,69,total,0.0,0.0
3,5,70,total,0.0,0.0
3,5,71,total,0.0,0.0
3,5,72,total,0.0,0.0
3,5,73,total,0.0,0.0
3,5,74,total,0.0,0.0
3,5,75,total,0.0,0.0
3,5,76,total,0.0,0.0
3,5,77,total,0.0,0.0
3,5,78,total,0.0,0.0
3,5,79,total,0.0,0.0
3,5,80,total,0.0,0.0
3,5,81,total,0.0,0.0
3,5,82,total,0.0,0.0
3,5,83,total,0.0,0.0
3,5,84,total,0.0,0.0
3,5,85,total,0.0,0.0
3,5,86,total,0.0,0.0
3,5,87,total,0.0,0.0
3,5,88,total,0.0,0.0
3,5,89,total,0.0,0.0
3,5,90,total,0.0,0.0
3,5,91,total,0.0,0.0
3,5,92,total,0.0,0.0
3,5,93,total,0.0,0.0
3,5,94,total,0.0,0.0
3,5,95,total,0.0,0.0
3,5,96,total,0.0,0.0
3,5,97,total,0.0,0.0
3,5,98,total,0.0,0.0
3,5,99,total,0.0,0.0
3,5,100,total,0.0,0.0
3,5,101,total,0.0,0.0
3,5,102,total,0.0,0.0
3,5,103,total,0.0,0.0
3,5,104,total,0.0,0.0
3,5,105,total,0.0,0.0
3,5,106,total,0.0,0.0
3,5,107,total,0.0,0.0
3,5,108,total,0.0,0.0
3,5,109,total,0.0,0.0
3,5,110,total,0.0,0.0
3,5,111,total,0.0,0.0
3,5,112,total,0.0,0.0
3,5,113,total,0.0,0.0
3,5,114,total,0.0,0.0
3,5,115,total,0.0,0.0
3,5,116,total,0.0,0.0
3,5,117,total,0.0,0.0
3,5,118,total,0.0,0.0
3,5,119,total,0.0,0.0
3,5,120,total,0.0,0.0
3,5,122,total,0.0,0.0
3,5,122,total,0.0,0.0
3,5,123,total,0.0,0.0
3,5,125,total,0.0,0.0
3,5,125,total,0.0,0.0
3,5,126,total,0.0,0.0
3,5,127,total,0.0,0.0
3,5,128,total,0.0,0.0
3,5,129,total,0.0,0.0
3,5,131,total,0.0,0.0
3,5,131,total,0.0,0.0
3,5,133,total,0.0,0.0
3,5,133,total,0.0,0.0
3,5,134,total,0.0,0.0
3,5,135,total,0.0,0.0
3,5,136,total,0.0,0.0
3,5,137,total,0.0,0.0
3,5,138,total,0.0,0.0
3,5,139,total,0.0,0.0
3,5,141,total,0.0,0.0
3,5,141,total,0.0,0.0
3,5,142,total,0.0,0.0
3,5,144,total,0.0,0.0
3,5,144,total,0.0,0.0
3,5,145,total,0.0,0.0
3,5,146,total,0.0,0.0
3,5,147,total,0.0,0.0
3,5,148,total,0.0,0.0
3,5,150,total,0.0,0.0
3,5,150,total,0.0,0.0
3,5,151,total,0.0,0.0
3,5,153,total,0.0,0.0
3,5,153,total,0.0,0.0
3,5,154,total,0.0,0.0
3,5,156,total,0.0,0.0
3,5,156,total,0.0,0.0
3,5,158,total,0.0,0.0
3,5,159,total,0.0,0.0
3,5,160,total,0.0,0.0
3,5,161,total,0.0,0.0
3,5,162,total,0.0,0.0
3,5,163,total,0.0,0.0
3,5,164,total,0.0,0.0
3,5,165,total,0.0,0.0
3,5,166,total,0.0,0.0
3,5,167,total,0.0,0.0
3,5,168,total,0.0,0.0
3,5,169,total,0.0,0.0
3,5,170,total,0.0,0.0
3,5,171,total,0.0,0.0
3,5,172,total,0.0,0.0
