cell,group in,group out,nuclide,mean,std. dev.
4,4,25,total,0.005471814559675046,0.0001018882570961059
4,4,26,total,0.004984926496043289,0.00011105421277876375
4,4,27,total,0.004636788916866175,0.00010517506298753338
4,4,28,total,0.011339698684066082,0.00016584849936781185
4,4,29,total,0.0031206245321890426,7.447990246513697e-05
4,4,30,total,0.0027623960086879556,9.579176103717076e-05
4,4,31,total,0.006771023641386733,0.00014547194380546915
4,4,32,total,0.0066499323094990435,0.00011129214780040918
4,4,33,total,0.001195776902390951,5.868155005289458e-05
4,4,34,total,0.0030979199074601003,7.10523514527597e-05
4,4,35,total,0.0016448239248078055,5.943872796348308e-05
4,4,36,total,0.0012865954013067185,4.3957325023202816e-05
4,4,37,total,0.0014556187187332883,5.4703114652798616e-05
4,4,38,total,0.0003733649399870481,3.2562763579091515e-05
4,4,39,total,0.0007669117686220444,5.478315953798755e-05
4,4,40,total,0.00017659152566954978,2.1904947300071325e-05
4,4,41,total,0.00022704624728942115,2.4440979575587735e-05
4,4,42,total,0.0007038433665972052,3.934266602858699e-05
4,4,43,total,0.00013370501229265907,1.6710641333086007e-05
4,4,44,total,0.000262364552423331,2.575506932433957e-05
4,4,45,total,0.00014379595661663335,2.1342225862905815e-05
4,4,46,total,0.00010090944323974268,1.8424027901007258e-05
4,4,47,total,0.00011856859580669767,1.1923198371433753e-05
4,4,48,total,2.5227360809935668e-05,7.874734091682183e-06
4,4,49,total,7.568208242980701e-05,1.2385687566165755e-05
4,4,50,total,0.0,0.0
4,4,51,total,2.5227360809935668e-05,7.874734091682183e-06
4,4,52,total,1.2613680404967834e-05,5.343933290792282e-06
4,4,53,total,2.5227360809935668e-05,8.664075298464585e-06
4,4,54,total,2.522736080993567e-06,2.5227386756781945e-06
4,4,55,total,2.522736080993567e-06,2.5227386756781945e-06
4,4,56,total,1.51364164859614e-05,5.769758997221044e-06
4,4,57,total,5.045472161987134e-06,3.5216584076664304e-06
4,4,58,total,0.0,0.0
4,4,59,total,2.522736080993567e-06,2.5227386756781945e-06
4,4,60,total,7.568208242980701e-06,4.256007817612095e-06
4,4,61,total,2.522736080993567e-06,2.5227386756781945e-06
4,4,62,total,0.0,0.0
4,4,63,total,2.522736080993567e-06,2.5227386756781945e-06
4,4,64,total,0.0,0.0
4,4,65,total,0.0,0.0
4,4,66,total,0.0,0.0
4,4,67,total,0.0,0.0
